scorer,,,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,,,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,,,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Tail,Client_Tail,Client_Tail_Top,Client_Tail_Top,Client_Tail_Bot,Client_Tail_Bot,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,LD24AL57_03_re-encode,img01089.png,1499.9402904694036,745.9480752963245,1444.2776003438557,718.5729817919566,1356.6773011298787,703.9729319229605,1455.227637745603,653.7852604982862,1343.902257494507,632.7976888116042,1454.3151346287907,765.110640749382,1345.7272637281317,750.5105908803858,1274.5520206167753,694.847900754838,1218.8893304912276,660.172782315972,1217.9768273744153,726.785509843267,571.0121175545228,852.710939963359,627.5873107968829,839.9358963279874,679.5999884551817,836.2858838607383,722.487634945358,836.2858838607383
labeled-data,LD24AL57_03_re-encode,img08321.png,1422.344531077381,532.3855129470192,1357.6743525580794,459.39145006384723,1255.8668437999713,413.93023546117,1414.6609455107312,395.3615703417666,1246.9026606388798,308.9212327169578,1356.3937549636378,544.5511900942145,1197.599653252878,461.95264525273046,1143.1742554891093,372.9511124390384,1075.9428817809246,278.1868904503591,1031.762264772689,372.3108136418176,827.5069484592518,393.4406739501042,844.7950159842137,385.1167895862337,857.6009919286298,376.15260642514244,870.4069678730459,362.0660328862847
labeled-data,LD24AL57_03_re-encode,img08530.png,404.2551188912771,594.8561487334664,505.71463917263486,558.804542542121,620.0497330937588,561.3796572700742,474.81326243719593,463.0102746622603,643.7407885909288,456.31497636958187,465.02782647097365,631.4227778704023,636.5304673526596,622.1523648497707,717.9040927559821,558.2895195965302,810.6082229622989,515.5426151125064,806.4880393975736,613.3969747747296,1465.1021882212153,485.1667407470725,1411.6822377981023,407.6216514231986,1332.4139242670312,362.81782203607145,1251.4223865287631,362.81782203607145
labeled-data,LD24AL57_03_re-encode,img09780.png,505.266304812377,909.0798957175828,594.8739635866311,847.0438242584837,696.5441918112658,802.2399948713565,525.9449952987434,764.3290623130182,689.6512949824769,698.8465424395248,575.9184973074621,924.5889135823575,727.5622275408155,852.2134968800752,799.9376442430976,759.1593896914267,846.4646978374219,681.6143003675528,886.0988546029573,788.454201213779,1789.0683391742884,509.2918796478332,1751.1574066159503,569.604726899735,1727.0322677151892,638.5336951876229,1721.8625950935977,710.9091118899051
labeled-data,LD24AL57_03_re-encode,img11614.png,1682.228438328062,852.2134968800752,1633.9781605265407,774.6684075562014,1540.924053337892,685.0607487819472,1714.9696982648088,722.9716813402855,1566.77241644585,585.1137447645098,1611.576245832977,838.4277032224977,1475.4415334643986,719.5252329258911,1435.807376698863,612.6853320796649,1428.9144798700743,505.84543123343883,1354.8158389605949,581.6672963501154,734.4551243696042,781.5613043849902,762.0267116847592,772.9451833490042,786.1518505855202,783.2845285921874,820.6163347294639,785.0077527993845
labeled-data,LD24AL57_03_re-encode,img12070.png,934.349132404479,459.3183776391145,991.2155312419864,431.7467903239593,1075.6535173946493,430.02356611676214,961.920719719634,364.5410462432686,1085.992862637832,350.7552525856911,975.7065133772116,485.1667407470725,1087.7160868450294,464.488050260706,1146.305709889734,419.68422087357897,1210.0650055560304,376.6036156936491,1204.8953329344388,450.7022566031285,1382.38742627575,576.4976237285239,1359.9855115821865,543.7563637917771,1334.1371484742285,514.4615522694247,1328.9674758526369,497.22931019745283
labeled-data,LD24AL57_03_re-encode,img13712.png,800.3824066581444,818.6444309075813,711.7149427821328,778.1107331356902,599.402821872518,763.7550485081456,758.1598048124245,698.732241665737,579.1359729865724,666.6430642629899,751.4041885171093,851.5780603472429,583.3582331711443,823.7111431290678,496.3796733689615,751.0882679544295,422.912346157409,675.9320366690483,396.7343330130627,782.3329933202623,1262.2976708503193,399.7962205980406,1188.8303436387669,378.6849196751807,1070.6070584707513,388.8183441181534,1019.9399362558875,433.5743020746164
labeled-data,LD24AL57_03_re-encode,img14567.png,1656.3800752201041,602.3459868364818,1575.388537481836,564.4350542781434,1442.7002735276517,550.6492606205659,1597.7904521753994,474.8273955038892,1425.46803145568,442.0861355671425,1589.1743311394137,645.4265920164116,1449.5931703564406,621.3014531156509,1344.4764937174116,560.9886058637491,1244.5294896999742,495.50608599025566,1266.9314043935378,605.7924352508762,710.3299854688435,354.20170100008545,622.4455509017864,411.06809983759297,567.3023762714761,481.720292332678,513.882425848363,578.220847935721
labeled-data,LD24AL57_03_re-encode,img18254.png,1242.468661434063,695.6563873541363,1188.8320375509288,672.9396995918677,1121.944012473138,669.1535849648229,1209.0246488951675,609.8377891411216,1101.1203820243918,606.0516745140768,1209.0246488951675,719.0040942209124,1117.5268787415857,708.907788548793,1061.9971975449291,667.2605276513005,999.5263061986905,639.4956870529722,1006.4675163482725,707.0147312352706,829.7821670861833,441.9867073421368,760.3700655903626,432.5214207745249,679.5996202134075,439.462630924107,612.7115951356166,451.45199390974875
