scorer,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000,DLC_dlcrnetms5_Front_viewAug31shuffle1_75000
individuals,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,Client_Mouth,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Spine_mid,Client_Body_top1,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Body_top2,Client_Body_bot1,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Body_bot2,Client_Tail,Client_Tail,Client_Tail,Client_Tail_Top,Client_Tail_Top,Client_Tail_Top,Client_Tail_Bot,Client_Tail_Bot,Client_Tail_Bot,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail,Cleaner_Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1043.572,580.444,1.0,971.545,516.537,0.996999979019165,924.777,474.575,0.5379999876022339,1027.662,411.541,0.9800000190734863,924.707,342.144,0.9959999918937683,1004.158,602.53,0.9950000047683716,923.765,515.823,0.8999999761581421,900.528,413.0,0.9760000109672546,889.796,340.818,0.9769999980926514,891.884,443.892,0.6039999723434448,223.367,538.49,1.0,260.647,564.595,0.9929999709129333,284.028,571.456,0.9200000166893005,284.079,532.67,0.6480000019073486
1,1051.274,586.943,0.9940000176429749,979.597,519.268,0.996999979019165,925.217,458.836,0.621999979019165,1035.461,419.766,0.9700000286102295,923.896,346.303,0.9909999966621399,1004.871,603.547,0.9940000176429749,924.168,508.573,0.8130000233650208,900.015,420.092,0.9919999837875366,890.429,340.767,0.968999981880188,892.065,444.332,0.8619999885559082,226.536,531.326,1.0,261.87,562.82,0.9959999918937683,284.024,571.514,0.9079999923706055,292.978,549.012,0.9599999785423279
2,1051.572,587.795,0.9959999918937683,982.717,524.299,0.9959999918937683,930.775,451.956,0.9160000085830688,1036.031,420.679,0.9660000205039978,931.478,347.501,0.9959999918937683,1010.22,611.109,0.9990000128746033,923.803,516.146,0.9079999923706055,901.033,421.229,0.9890000224113464,888.858,348.257,0.9929999709129333,891.599,444.304,0.753000020980835,228.759,526.162,1.0,261.841,562.81,0.9980000257492065,284.189,571.632,0.9290000200271606,291.038,540.852,0.9729999899864197
3,1059.594,595.495,0.9990000128746033,987.44,526.142,0.9909999966621399,940.993,443.022,0.8569999933242798,1044.182,427.067,0.9769999980926514,931.598,347.901,0.9950000047683716,1010.693,613.644,0.9990000128746033,931.641,531.973,0.8730000257492065,901.275,422.16,0.9890000224113464,889.082,348.126,0.9980000257492065,892.018,444.044,0.640999972820282,228.405,522.948,1.0,266.939,563.587,0.996999979019165,290.495,572.675,0.8289999961853027,299.894,548.72,0.847000002861023
4,1067.256,598.19,0.9980000257492065,987.633,533.413,0.9950000047683716,940.679,450.989,0.9610000252723694,1045.261,426.874,0.9800000190734863,932.854,354.666,0.996999979019165,1020.223,618.73,0.9929999709129333,932.143,531.998,0.8610000014305115,901.431,428.376,0.9879999756813049,889.682,348.134,0.9990000128746033,891.876,445.154,0.9649999737739563,231.531,515.929,1.0,267.111,554.645,0.9959999918937683,284.439,563.234,0.890999972820282,291.361,572.087,0.515999972820282
5,1067.743,603.742,0.9959999918937683,995.325,534.7,0.9959999918937683,941.093,458.42,0.8849999904632568,1051.438,428.296,0.972000002861023,940.419,357.065,0.9929999709129333,1020.751,620.581,0.9950000047683716,933.172,540.637,0.7760000228881836,902.928,429.003,0.996999979019165,890.593,349.099,0.9980000257492065,891.023,451.531,0.996999979019165,234.415,511.614,1.0,267.963,554.245,0.9959999918937683,292.103,563.657,0.9309999942779541,299.948,548.896,0.20999999344348907
6,1076.411,610.846,0.9990000128746033,1003.167,540.584,0.9940000176429749,941.248,458.574,0.9319999814033508,1052.367,435.966,0.9610000252723694,939.862,362.318,0.9900000095367432,1025.355,628.409,0.9990000128746033,939.71,548.105,0.8029999732971191,903.285,429.752,0.9959999918937683,891.115,353.993,0.9980000257492065,891.578,452.688,0.9810000061988831,235.324,506.609,1.0,268.297,548.596,0.9990000128746033,291.132,572.129,0.9649999737739563,307.602,548.087,0.5659999847412109
